volume_nm3,volume_voxels,aspect_ratio,sphericity,equiv_diameter_nm,nearest_neighbor_nm
6.464070000000000000e+08,2.394100000000000000e+04,1.296296296296296280e+00,1.591237261891365051e-03,1.072759764245044380e+03,8.113815172183252571e+02
3.467610000000000000e+08,1.284300000000000000e+04,2.923076923076922906e+00,1.050552469678223133e-03,8.716534928859299498e+02,5.361885331513543633e+02
2.988090000000000000e+08,1.106700000000000000e+04,1.238095238095238138e+00,9.513201075606048107e-04,8.294655448722747906e+02,7.003761889730709527e+02
2.783970000000000000e+08,1.031100000000000000e+04,1.421052631578947345e+00,9.074874105863273144e-04,8.101311093483318473e+02,5.891515449315332944e+02
4.592700000000000000e+07,1.701000000000000000e+03,5.799999999999999822e+00,2.729666884988546371e-04,4.443138166023579174e+02,6.445886118051479343e+02
4.658580000000000000e+08,1.725400000000000000e+04,1.291666666666666741e+00,1.279086573049426079e-03,9.618004557236968139e+02,6.981431307521111194e+02
2.962980000000000000e+08,1.097400000000000000e+04,1.578947368421052655e+00,9.459831053391098976e-04,8.271355732029711589e+02,7.077877631022802234e+02
2.166480000000000000e+08,8.024000000000000000e+03,1.500000000000000000e+00,7.677751127630472183e-04,7.451642664859949718e+02,6.570608547415399698e+02
2.962710000000000000e+08,1.097300000000000000e+04,1.399999999999999911e+00,9.459256543777883053e-04,8.271104483412200352e+02,5.307733293023649139e+02
4.246830000000000000e+08,1.572900000000000000e+04,1.159999999999999920e+00,1.202562125399708748e-03,9.325856991496951878e+02,6.381460017069169908e+02
2.914650000000000000e+08,1.079500000000000000e+04,1.227272727272727293e+00,9.356681257486343384e-04,8.226136837700624937e+02,6.321310861948894626e+02
3.323970000000000000e+08,1.231100000000000000e+04,1.041666666666666741e+00,1.021336880512535572e-03,8.594477739386409212e+02,6.645416891342622421e+02
2.608470000000000000e+08,9.661000000000000000e+03,1.368421052631578982e+00,8.689367095939815044e-04,7.927369011372228442e+02,7.109397026771893024e+02
2.927880000000000000e+08,1.084400000000000000e+04,1.238095238095238138e+00,9.384974837303161621e-04,8.238564577662173178e+02,6.373932402895790119e+02
2.724300000000000000e+08,1.009000000000000000e+04,1.136363636363636465e+00,8.944736327975988388e-04,8.043012976004098391e+02,6.926488904165820486e+02
4.524390000000000000e+08,1.675700000000000000e+04,1.363636363636363535e+00,1.254404429346323013e-03,9.524754790804756794e+02,6.439629775223464776e+02
7.921800000000000000e+07,2.934000000000000000e+03,3.714285714285714413e+00,3.925968776457011700e-04,5.328542292591610021e+02,4.767042646312414718e+02
2.468880000000000000e+08,9.144000000000000000e+03,1.142857142857142794e+00,8.376531768590211868e-04,7.783360029006296372e+02,7.045175543710957982e+02
