Time, Value
0.0418, 8.262394e+14
0.0419, 8.273803e+14
0.042, 8.285211e+14
0.0421, 8.296620e+14
0.0422, 8.308028e+14
0.0423, 8.319436e+14
0.0424, 8.330843e+14
0.0425, 8.342250e+14
0.0426, 8.353656e+14
0.0427, 8.365063e+14
0.0428, 8.376468e+14
0.0429, 8.387874e+14
0.043, 8.399278e+14
0.0431, 8.410683e+14
0.0432, 8.422087e+14
0.0433, 8.433490e+14
0.0434, 8.444893e+14
0.0435, 8.456295e+14
0.0436, 8.467697e+14
0.0437, 8.479098e+14
0.0438, 8.490499e+14
0.0439, 8.501899e+14
0.044, 8.513299e+14
0.0441, 8.524698e+14
0.0442, 8.536096e+14
0.0443, 8.547494e+14
0.0444, 8.558891e+14
0.0445, 8.570287e+14
0.0446, 8.581683e+14
0.0447, 8.593078e+14
0.0448, 8.604473e+14
0.0449, 8.615867e+14
0.045, 8.627260e+14
0.0451, 8.638652e+14
0.0452, 8.650044e+14
0.0453, 8.661435e+14
0.0454, 8.672825e+14
0.0455, 8.684214e+14
0.0456, 8.695603e+14
0.0457, 8.706991e+14
0.0458, 8.718378e+14
0.0459, 8.729764e+14
0.046, 8.741150e+14
0.0461, 8.752534e+14
0.0462, 8.763918e+14
0.0463, 8.775301e+14
0.0464, 8.786683e+14
0.0465, 8.798064e+14
0.0466, 8.809445e+14
0.0467, 8.820824e+14
0.0468, 8.832202e+14
0.0469, 8.843580e+14
0.047, 8.854956e+14
0.0471, 8.866332e+14
0.0472, 8.877707e+14
0.0473, 8.889081e+14
0.0474, 8.900453e+14
0.0475, 8.911825e+14
0.0476, 8.923196e+14
0.0477, 8.934566e+14
0.0478, 8.945934e+14
0.0479, 8.957302e+14
0.048, 8.968669e+14
0.0481, 8.980034e+14
0.0482, 8.991399e+14
0.0483, 9.002762e+14
0.0484, 9.014124e+14
0.0485, 9.025486e+14
0.0486, 9.036846e+14
0.0487, 9.048205e+14
0.0488, 9.059562e+14
0.0489, 9.070919e+14
0.049, 9.082275e+14
0.0491, 9.093629e+14
0.0492, 9.104982e+14
0.0493, 9.116334e+14
0.0494, 9.127685e+14
0.0495, 9.139035e+14
0.0496, 9.150383e+14
0.0497, 9.161730e+14
0.0498, 9.173076e+14
0.0499, 9.184421e+14
0.05, 9.195764e+14
