TimeStep Time Epsilon_xx Epsilon_yy Epsilon_zz Epsilon_yz Epsilon_xz Epsilon_xy Sigma_xx Sigma_yy Sigma_zz Sigma_yz Sigma_xz Sigma_xy Mises Pressure Norm
550 0.55 0.0055 -0.00229691 -0.00268657 -0.000458013 1.07183e-05 0.000169047 2.67471e+08 497.127 3017.89 916.783 -828.696 -892.135 2.67469e+08 -8.91582e+07 2.67471e+08
560 0.56 0.0056 -0.0023421 -0.00273888 -0.000468886 1.02236e-05 0.000172063 2.67985e+08 496.268 3016.84 914.432 -829.625 -891.401 2.67984e+08 -8.93296e+07 2.67985e+08
570 0.57 0.0057 -0.0023873 -0.00279115 -0.000479713 9.73702e-06 0.00017503 2.68497e+08 495.452 3015.82 912.156 -830.534 -890.668 2.68495e+08 -8.95e+07 2.68497e+08
580 0.58 0.0058 -0.00243253 -0.00284337 -0.000490494 9.25965e-06 0.000177948 2.69005e+08 494.679 3014.84 909.951 -831.423 -889.937 2.69003e+08 -8.96695e+07 2.69005e+08
590 0.59 0.0059 -0.00247776 -0.00289556 -0.000501228 8.79245e-06 0.00018082 2.69511e+08 493.95 3013.89 907.815 -832.293 -889.209 2.69509e+08 -8.98381e+07 2.69511e+08
600 0.6 0.006 -0.00252301 -0.00294771 -0.000511916 8.33628e-06 0.000183646 2.70014e+08 493.266 3012.98 905.747 -833.144 -888.485 2.70012e+08 -9.00058e+07 2.70014e+08
610 0.61 0.0061 -0.00256827 -0.00299982 -0.000522557 7.89185e-06 0.000186428 2.70515e+08 492.627 3012.1 903.744 -833.976 -887.764 2.70513e+08 -9.01728e+07 2.70515e+08
620 0.62 0.0062 -0.00261355 -0.0030519 -0.000533152 7.45981e-06 0.000189167 2.71013e+08 492.032 3011.27 901.804 -834.789 -887.048 2.71012e+08 -9.0339e+07 2.71013e+08
630 0.63 0.0063 -0.00265884 -0.00310394 -0.000543701 7.04071e-06 0.000191864 2.7151e+08 491.483 3010.47 899.925 -835.584 -886.338 2.71508e+08 -9.05044e+07 2.7151e+08
640 0.64 0.0064 -0.00270413 -0.00315594 -0.000554203 6.63498e-06 0.000194521 2.72004e+08 490.979 3009.71 898.105 -836.361 -885.632 2.72002e+08 -9.06691e+07 2.72004e+08
650 0.65 0.0065 -0.00274944 -0.00320791 -0.00056466 6.24304e-06 0.000197138 2.72496e+08 490.519 3008.98 896.342 -837.12 -884.931 2.72494e+08 -9.08332e+07 2.72496e+08
660 0.66 0.0066 -0.00279476 -0.00325984 -0.00057507 5.86519e-06 0.000199718 2.72986e+08 490.104 3008.3 894.635 -837.862 -884.236 2.72984e+08 -9.09965e+07 2.72986e+08
670 0.67 0.0067 -0.00284008 -0.00331174 -0.000585435 5.50169e-06 0.00020226 2.73474e+08 489.732 3007.65 892.981 -838.586 -883.545 2.73473e+08 -9.11593e+07 2.73474e+08
680 0.68 0.0068 -0.00288542 -0.0033636 -0.000595754 5.15274e-06 0.000204767 2.73961e+08 489.404 3007.04 891.378 -839.293 -882.86 2.73959e+08 -9.13214e+07 2.73961e+08
690 0.69 0.0069 -0.00293076 -0.00341543 -0.000606028 4.8185e-06 0.000207239 2.74445e+08 489.118 3006.47 889.825 -839.982 -882.18 2.74444e+08 -9.1483e+07 2.74445e+08
700 0.7 0.007 -0.00297611 -0.00346723 -0.000616257 4.49908e-06 0.000209677 2.74928e+08 488.875 3005.94 888.319 -840.655 -881.505 2.74927e+08 -9.16439e+07 2.74928e+08
710 0.71 0.0071 -0.00302146 -0.00351899 -0.000626441 4.19455e-06 0.000212083 2.7541e+08 488.674 3005.45 886.86 -841.311 -880.834 2.75408e+08 -9.18044e+07 2.7541e+08
720 0.72 0.0072 -0.00306682 -0.00357072 -0.00063658 3.90494e-06 0.000214457 2.75889e+08 488.513 3004.99 885.445 -841.951 -880.169 2.75888e+08 -9.19643e+07 2.75889e+08
730 0.73 0.0073 -0.00311219 -0.00362242 -0.000646676 3.63025e-06 0.0002168 2.76367e+08 488.393 3004.57 884.072 -842.575 -879.508 2.76366e+08 -9.21236e+07 2.76367e+08
740 0.74 0.0074 -0.00315756 -0.00367409 -0.000656728 3.37048e-06 0.000219114 2.76844e+08 488.313 3004.19 882.74 -843.183 -878.851 2.76842e+08 -9.22825e+07 2.76844e+08
