label_id,volume_nm3,volume_voxels,equiv_diameter_nm,aspect_ratio,sphericity_wadell,roundness_wadell,nearest_neighbor_nm
26,7425000.0,275,242.0467627541456,2.0,0.8678506490314644,0.9876654148101807,623.4387037923971
27,12420000.0,460,287.3256014756549,1.368421052631579,0.9280597277455483,0.934681150648329,776.4723743407111
28,4374000.0,162,202.90529732162872,3.125,0.7765399977851081,0.9476521015167236,610.6600383723372
29,18360000.0,680,327.30905346292485,1.0769230769230769,0.9619251266624823,0.9093827406565348,776.4723743407111
30,16794000.0,622,317.7253320016059,1.4090909090909092,0.9154852670934616,0.9648303031921387,679.7714642088487
31,13554000.0,502,295.816880528203,1.5263157894736843,0.9145673955541543,0.9659763971964518,679.7714642088487
32,12852000.0,476,290.6190183763138,1.1428571428571428,0.9827658975789589,0.9253120663965003,623.4387037923971
33,11610000.0,430,280.93846109397356,1.15,0.9502278210693142,0.9458469861834902,725.1686369662993
34,11799000.0,437,282.45473504531947,1.0952380952380953,0.9644728062746608,0.9378254747639131,716.75280134518
35,10854000.0,402,274.7032083023424,1.05,0.9838565207402109,0.9682399883373736,715.7824873881239
36,6507000.0,241,231.6296022830822,2.1818181818181817,0.7991567796051494,0.9643632888793945,610.6600383723372
37,6102000.0,226,226.7207103761096,1.6666666666666667,0.9057342478625109,0.9412492911020914,570.1618704548317
38,29214000.0,1082,382.1179749688482,1.15625,0.9560224151292727,0.8830371220906575,720.9665432024788
39,1944000.0,72,154.8457224890579,9.666666666666666,,,319.11484822419834
40,6453000.0,239,230.98707581386648,1.8333333333333333,0.9030434668746407,0.9905561606089274,319.11484822419834
41,13959000.0,517,298.7343950157369,1.1818181818181819,0.9485949913422571,0.9346051216125488,720.9677246419733
42,14553000.0,539,302.91303963845536,1.0416666666666667,0.9884341783470114,0.9405025132908166,711.5814759968919
43,11934000.0,442,283.5279016417017,1.15,0.9748292659418151,0.9557011604309082,567.3290942906411
44,13311000.0,493,294.0383793432328,1.3,0.9561620738584028,0.9301517486572266,570.1618704548317
45,17604000.0,652,322.75346432150656,1.0769230769230769,0.9674190053840324,0.8989151318868002,770.2346084918247
46,11664000.0,432,281.37335104683785,1.4444444444444444,0.8976520896084914,0.9791550040245056,711.5814759968919
47,12123000.0,449,285.0168226501096,1.0952380952380953,0.9910801345755282,0.9642538413850971,641.1410153452301
48,8964000.0,332,257.7316427184707,1.0555555555555556,0.9527245123686906,0.9839770793914795,573.6978656086936
49,4212000.0,156,200.36871519145123,1.5454545454545454,0.9123087144235246,0.9691343307495117,592.1132589980749
50,18603000.0,689,328.74673979177044,1.2,0.9818324244655997,0.9081648313082181,750.2113821956192
51,15390000.0,570,308.61237196094527,1.173913043478261,0.9671667996084696,0.9712835658680309,780.6570387948668
52,13608000.0,504,296.20921106823863,1.0434782608695652,0.981848410685571,0.9533271789550781,650.4416444604185
53,7884000.0,292,246.93500809370838,1.25,0.9697565493144652,0.9568203687667847,661.8888695510665
54,7209000.0,267,239.67650755059972,1.4285714285714286,0.8755584305595507,0.9869300524393717,573.6978656086936
55,14256000.0,528,300.83822767623315,1.2272727272727273,0.9467845605550284,0.9466081619262695,689.8645077810314
56,23058000.0,854,353.1351956253381,1.75,0.9052606111162598,0.8438309033711752,746.8927577428624
57,5994000.0,222,225.37515518328345,1.2857142857142858,0.9187072659732863,0.9834708372751871,628.9762359133152
58,10962000.0,406,275.6113246870395,3.4166666666666665,0.7032364108579985,0.8698116143544515,689.8645077810314
59,8154000.0,302,249.72232033904504,1.3125,0.967303677061919,0.979065477848053,566.7293582328199
60,7209000.0,267,239.67650755059972,1.2666666666666666,0.9440590555983256,0.9854736328125,641.1410153452301
61,15579000.0,577,309.8705609492098,1.125,0.9694421089417826,0.9277216612647985,648.3264191794694
62,14418000.0,534,301.9734770282881,1.0869565217391304,0.9767908673631495,0.9759592576460405,582.9322888805607
63,15984000.0,592,312.53280960970693,1.0833333333333333,0.9819501528477657,0.9240647157033285,758.181379180733
64,11610000.0,430,280.93846109397356,1.0,0.9743055002974985,0.9314566081646769,692.9111542795986
65,14094000.0,522,299.6943450420142,1.0434782608695652,0.9770780684268271,0.9425307187167081,678.7626912300022
66,5184000.0,192,214.72805494551582,1.2307692307692308,0.981302385106911,0.9544334617560701,587.7592265299767
67,11583000.0,429,280.72051029966696,1.3888888888888888,0.8973691236887945,0.9615395069122314,625.2776774072306
68,3105000.0,115,181.00378673644153,1.0909090909090908,0.9693142819379239,0.970524787902832,587.7592265299767
69,2106000.0,78,159.0327546382131,1.1111111111111112,0.9561507411061233,0.9838454892919654,566.7293582328199
70,10935000.0,405,275.3848567751282,1.1,0.9845182679880117,0.951067957301224,592.5357298833403
72,5508000.0,204,219.11146524828834,1.2857142857142858,0.9259047670039869,0.9410848135203734,595.851381717172
73,8532000.0,316,253.5230250021268,1.1111111111111112,0.9548077038972597,0.9311030507087708,688.7250187563659
74,13122000.0,486,292.640077875216,1.1904761904761905,0.9863956939634724,0.9645187204534357,436.23434963099004
75,9693000.0,359,264.53706459753005,1.1666666666666667,0.9352397809580933,0.9547112584114075,625.2776774072306
76,8640000.0,320,254.58826030729318,1.375,0.9546673624506201,0.9525114297866821,637.4954404604739
77,1080000.0,40,127.29413015364659,10.5,,,436.23434963099004
78,8073000.0,299,248.89267196380806,1.0,0.9664645340383022,0.9406954646110535,669.8418423049138
79,11070000.0,410,276.5134958497688,1.2105263157894737,0.9568828202183555,0.9818462795681424,714.2516606846106
80,11232000.0,416,277.855815410288,1.0,0.9952430263370764,0.9724828579788776,691.369502937736
81,46980000.0,1740,447.6838867958744,1.146341463414634,0.9789335684152883,0.9247489506909568,996.9663372922706
82,11691000.0,433,281.5902928066786,1.0476190476190477,0.9783279381710811,0.9616145133972168,658.7153099086611
83,27081000.0,1003,372.5821332429975,1.1290322580645162,0.974097759059583,0.9482948939005534,634.5069764287556
84,14634000.0,542,303.47399099314373,1.0869565217391304,0.9750273575140534,0.9775204225019976,737.1081046962643
85,13176000.0,488,293.0409551953845,1.4736842105263157,0.9144767441558982,0.9256771935356988,716.0045488834248
86,4293000.0,159,201.64498345586017,1.0769230769230769,0.9717769065679686,0.9804289780991564,658.7153099086611
87,12204000.0,452,285.6501954499795,1.0952380952380953,0.9881130823913963,0.9707869419764164,676.8549491994471
88,3456000.0,128,187.58223403122523,5.6,0.6602177822558933,0.9034014542897543,634.5069764287556
89,12987000.0,481,291.63304968491803,1.0454545454545454,0.9616176774730423,0.940743350982666,716.0045488834248
91,9936000.0,368,266.729460684095,1.0,0.9890074118702332,0.948930496898136,718.7116404190417
92,10665000.0,395,273.0993998932013,1.0476190476190477,0.9592830035991587,0.9535872141520182,746.0403922395968
93,7830000.0,290,246.3699374503925,1.25,0.9707789799939177,0.9432446956634521,575.2300010987346
94,10827000.0,401,274.47523873016064,1.588235294117647,0.9533334888766044,0.9482060046420688,620.2844928296338
95,13122000.0,486,292.640077875216,1.3,0.9590286269655833,0.9289939880371094,662.9010702873043
96,12744000.0,472,289.80266851878974,1.7647058823529411,0.9114073791229366,0.9288155595165197,737.5294012375371
97,2592000.0,96,170.4297701537986,1.625,0.9261622033373793,0.994188666343689,610.0618454078009
98,2241000.0,83,162.360760942493,1.8571428571428572,0.8043603788897833,0.9570692380269369,493.78940619187495
99,12042000.0,446,284.3806222696689,1.1428571428571428,0.9414944563498613,0.9376462568999555,663.4466870103375
100,9234000.0,342,260.2937554281149,1.1111111111111112,0.9446574624642889,0.9621866345405579,493.78940619187495
101,11043000.0,409,276.2885051110016,1.1,0.9834654618260438,0.9454294204711914,677.3114073147377
102,14067000.0,521,299.50284700582034,1.0416666666666667,0.9755341860902156,0.9252751957286488,610.0618454078009
103,6048000.0,224,226.04993512353255,1.2857142857142858,0.912471361685606,0.9565886656443278,580.7006662266054
104,9207000.0,341,260.03981013965,1.1111111111111112,0.9457209119869744,0.9624801278114319,628.8820067404891
105,15390000.0,570,308.61237196094527,1.1304347826086956,0.9653012730649115,0.9461479187011719,631.8199897089415
106,8208000.0,304,250.27237127993357,1.0,0.9636021085135076,0.9514551758766174,620.2844928296338
107,7884000.0,292,246.93500809370838,1.0588235294117647,0.9728484573919249,0.9851027727127075,608.812630774806
108,10746000.0,398,273.78904777061734,1.3333333333333333,0.9164886358429659,0.9807180762290955,562.4210141259304
109,13770000.0,510,297.38001063393824,1.3,0.9506045696796575,0.9367596626281738,626.2016584428899
110,9477000.0,351,262.5572930033446,1.2941176470588236,0.9475804837751526,0.9502310030777137,661.867430574728
111,7776000.0,288,245.80226277190636,1.3125,0.9755144408421105,0.989595890045166,369.09204686876956
112,6858000.0,254,235.72172983556504,1.0625,0.9836684996872045,0.9648870513805184,616.5124944572631
113,9909000.0,367,266.48763873766654,1.3529411764705883,0.9727327444105066,0.9708631303575304,677.3114073147377
114,11745000.0,435,282.0231763364378,1.588235294117647,0.9420510821463861,0.9536804623074002,637.054663795668
115,8721000.0,323,255.3813752759234,1.1764705882352942,0.9808651250198289,0.9440951497707185,616.5124944572631
116,6723000.0,249,234.16473770409436,1.2,0.9506647749028577,0.9481462751116071,672.1553008326666
117,7803000.0,289,246.08642749058265,1.3333333333333333,0.9246064069418087,0.9623278890337262,608.812630774806
118,7236000.0,268,239.97535637331254,1.6923076923076923,0.9349224697418282,0.9392728124346051,562.4210141259304
119,7641000.0,283,244.37148377773073,1.7692307692307692,0.9301389810520937,0.9695296968732562,631.8199897089415
120,1674000.0,62,147.31680017951132,7.666666666666667,,,369.09204686876956
